 iy  im   date    soi
  1906   8  1906.625       1.4
  1906   9  1906.708       1.8
  1906  10  1906.792       1.0
  1906  11  1906.875       1.5
  1906  12  1906.958       0.2
  1907   1  1907.042       0.8
  1907   2  1907.125       0.1
  1907   3  1907.208       0.2
  1907   4  1907.292      -0.9
  1907   5  1907.375      -0.8
  1907   6  1907.458      -0.3
  1907   7  1907.542      -0.6
  1907   8  1907.625      -0.9
  1907   9  1907.708       0.2
  1907  10  1907.792      -0.1
  1907  11  1907.875      -0.5
  1907  12  1907.958       0.3
  1908   1  1908.042      -0.5
  1908   2  1908.125       1.4
  1908   3  1908.208      -0.3
  1908   4  1908.292       0.1
  1908   5  1908.375      -0.3
  1908   6  1908.458      -0.7
  1908   7  1908.542       0.8
  1908   8  1908.625       0.3
  1908   9  1908.708       2.2
  1908  10  1908.792       1.0
  1908  11  1908.875       0.1
  1908  12  1908.958      -0.8
  1909   1  1909.042      -0.1
  1909   2  1909.125       0.3
  1909   3  1909.208      -0.2
  1909   4  1909.292      -1.4
  1909   5  1909.375      -0.4
  1909   6  1909.458       1.1
  1909   7  1909.542       0.4
  1909   8  1909.625       0.7
  1909   9  1909.708       0.1
  1909  10  1909.792       0.4
  1909  11  1909.875       0.5
  1909  12  1909.958       0.4
  1910   1  1910.042       0.6
  1910   2  1910.125       2.2
  1910   3  1910.208       1.6
  1910   4  1910.292      -0.3
  1910   5  1910.375      -0.4
  1910   6  1910.458       1.1
  1910   7  1910.542       1.3
  1910   8  1910.625       0.8
  1910   9  1910.708       1.5
  1910  10  1910.792       1.3
  1910  11  1910.875       1.4
  1910  12  1910.958       1.6
  1911   1  1911.042       0.4
  1911   2  1911.125       0.5
  1911   3  1911.208       0.7
  1911   4  1911.292      -0.5
  1911   5  1911.375      -0.9
  1911   6  1911.458      -1.1
  1911   7  1911.542      -1.6
  1911   8  1911.625      -1.1
  1911   9  1911.708      -0.7
  1911  10  1911.792      -0.7
  1911  11  1911.875      -0.7
  1911  12  1911.958      -0.3
  1912   1  1912.042      -0.8
  1912   2  1912.125      -1.4
  1912   3  1912.208      -0.7
  1912   4  1912.292      -1.6
  1912   5  1912.375      -1.2
  1912   6  1912.458      -0.9
  1912   7  1912.542      -0.8
  1912   8  1912.625      -0.8
  1912   9  1912.708      -0.4
  1912  10  1912.792      -0.4
  1912  11  1912.875       0.1
  1912  12  1912.958      -0.9
  1913   1  1913.042      -0.2
  1913   2  1913.125      -0.1
  1913   3  1913.208       0.2
  1913   4  1913.292      -0.9
  1913   5  1913.375      -0.8
  1913   6  1913.458      -0.6
  1913   7  1913.542      -0.4
  1913   8  1913.625      -0.8
  1913   9  1913.708      -0.6
  1913  10  1913.792      -0.4
  1913  11  1913.875      -1.0
  1913  12  1913.958      -0.9
  1914   1  1914.042       0.0
  1914   2  1914.125       1.1
