years(Äê£© mjd gps(input) gps(rm_leap) gps(rm_leap_3sigma) gps(rm_leap_sigma_depoly) gps(rm_leap_sigma_running_aver) gps(rm_leap_sigma_running_aver_sigma) year month day
2004.250 53096.5   -8.62   -8.62   -8.62   -8.51   -8.96   -8.96 2004    4    1
2004.253 53097.5   -1.59   -1.59   -1.59   -1.48   -1.92   -1.92 2004    4    2
2004.255 53098.5    0.45    0.45    0.45    0.56    0.13    0.13 2004    4    3
2004.258 53099.5    4.06    4.06    4.06    4.17    3.73    3.73 2004    4    4
2004.261 53100.5    1.31    1.31    1.31    1.42    1.00    1.00 2004    4    5
2004.264 53101.5   -5.70   -5.70   -5.70   -5.59   -6.02   -6.02 2004    4    6
2004.266 53102.5   -3.33   -3.33   -3.33   -3.22   -3.66   -3.66 2004    4    7
2004.269 53103.5    4.67    4.67    4.67    4.77    4.33    4.33 2004    4    8
2004.272 53104.5    4.37    4.37    4.37    4.47    4.02    4.02 2004    4    9
2004.275 53105.5    1.25    1.25    1.25    1.35    0.91    0.91 2004    4   10
2004.277 53106.5    2.77    2.77    2.77    2.87    2.43    2.43 2004    4   11
2004.280 53107.5    4.42    4.42    4.42    4.52    4.09    4.09 2004    4   12
2004.283 53108.5    4.18    4.18    4.18    4.28    3.84    3.84 2004    4   13
2004.286 53109.5    5.48    5.48    5.48    5.58    5.14    5.14 2004    4   14
2004.288 53110.5    7.13    7.13    7.13    7.23    6.79    6.79 2004    4   15
2004.291 53111.5   10.04   10.04   10.04   10.14    9.71    9.71 2004    4   16
2004.294 53112.5    8.47    8.47    8.47    8.57    8.15    8.15 2004    4   17
2004.297 53113.5    6.47    6.47    6.47    6.56    6.15    6.15 2004    4   18
2004.299 53114.5    5.98    5.98    5.98    6.07    5.66    5.66 2004    4   19
2004.302 53115.5    6.17    6.17    6.17    6.26    5.86    5.86 2004    4   20
2004.305 53116.5    5.59    5.59    5.59    5.68    5.29    5.29 2004    4   21
2004.307 53117.5    2.18    2.18    2.18    2.27    1.91    1.91 2004    4   22
2004.310 53118.5    3.07    3.07    3.07    3.16    2.82    2.82 2004    4   23
2004.313 53119.5    7.30    7.30    7.30    7.39    7.06    7.06 2004    4   24
2004.316 53120.5   -6.17   -6.17   -6.17   -6.08   -6.39   -6.39 2004    4   25
2004.318 53121.5    0.64    0.64    0.64    0.73    0.45    0.45 2004    4   26
2004.321 53122.5   12.43   12.43   12.43   12.52   12.25   12.25 2004    4   27
2004.324 53123.5    6.27    6.27    6.27    6.36    6.09    6.09 2004    4   28
2004.327 53124.5   -0.54   -0.54   -0.54   -0.46   -0.72   -0.72 2004    4   29
2004.329 53125.5    1.99    1.99    1.99    2.07    1.81    1.81 2004    4   30
2004.332 53126.5    4.52    4.52    4.52    4.60    4.37    4.37 2004    5    1
2004.335 53127.5    2.69    2.69    2.69    2.77    2.55    2.55 2004    5    2
2004.337 53128.5   -4.66   -4.66   -4.66   -4.58   -4.80   -4.80 2004    5    3
2004.340 53129.5    9.16    9.16    9.16    9.24    9.01    9.01 2004    5    4
